Skin Image,Skin Name,Skin Edition,Skin Collection,Skin Cost,Skin Weapon
https://static.wikia.nocookie.net/valorant/images/a/ac/Aemondir_Bucky.png/revision/latest?cb=20240621121556,Aemondir Bucky,Premium,Aemondir,1775,Bucky
https://static.wikia.nocookie.net/valorant/images/d/db/Altitude_Bucky.png/revision/latest?cb=20230711192217,Altitude Bucky,Deluxe,Altitude,1275,Bucky
https://static.wikia.nocookie.net/valorant/images/f/fd/Gaia%27s_Vengeance_Bucky.png/revision/latest?cb=20231003161238,Gaia's Vengeance Bucky,Premium,Gaia's Vengeance,1775,Bucky
https://static.wikia.nocookie.net/valorant/images/3/37/Galleria_Bucky.png/revision/latest?cb=20230711194631,Galleria Bucky,Select,Galleria,875,Bucky
https://static.wikia.nocookie.net/valorant/images/a/ae/Gravitational_Uranium_Neuroblaster_Bucky.png/revision/latest?cb=20230711195106,Gravitational Uranium Neuroblaster Bucky,Premium,Gravitational Uranium Neuroblaster,1775,Bucky
https://static.wikia.nocookie.net/valorant/images/d/d1/Horizon_Bucky.png/revision/latest?cb=20230711195301,Horizon Bucky,Deluxe,Horizon,1275,Bucky
https://static.wikia.nocookie.net/valorant/images/0/09/Ion_Bucky.png/revision/latest?cb=20230711195811,Ion Bucky,Premium,Ion,1775,Bucky
https://static.wikia.nocookie.net/valorant/images/e/e4/Magepunk_Bucky.png/revision/latest?cb=20230711200801,Magepunk Bucky,Premium,Magepunk,1775,Bucky
https://static.wikia.nocookie.net/valorant/images/e/e8/Oni_Bucky.png/revision/latest?cb=20230711201841,Oni Bucky,Premium,Oni,1775,Bucky
https://static.wikia.nocookie.net/valorant/images/2/2e/Origin_Bucky.png/revision/latest?cb=20230711202101,Origin Bucky,Premium,Origin,1775,Bucky
https://static.wikia.nocookie.net/valorant/images/e/e9/Overdrive_Bucky.png/revision/latest?cb=20231205181714,Overdrive Bucky,Exclusive,Overdrive,2175,Bucky
https://static.wikia.nocookie.net/valorant/images/1/18/Prime_2.0_Bucky.png/revision/latest?cb=20230711202653,Prime 2.0 Bucky,Premium,Prime//2.0,1775,Bucky
https://static.wikia.nocookie.net/valorant/images/d/d1/Prism_II_Bucky.png/revision/latest?cb=20230711202717,Prism II Bucky,Select,Prism II,875,Bucky
https://static.wikia.nocookie.net/valorant/images/d/d1/Radiant_Crisis_001_Bucky.png/revision/latest?cb=20230711203035,Radiant Crisis 001 Bucky,Premium,Radiant Crisis 001,1775,Bucky
https://static.wikia.nocookie.net/valorant/images/4/46/Titanmail_Bucky.png/revision/latest?cb=20230711210032,Titanmail Bucky,Deluxe,Titanmail,1275,Bucky
https://static.wikia.nocookie.net/valorant/images/e/e1/Xenohunter_Bucky.png/revision/latest?cb=20230711210601,Xenohunter Bucky,Premium,Xenohunter,1775,Bucky
