Skin Image,Skin Name,Skin Edition,Skin Collection,Skin Cost,Skin Weapon
https://static.wikia.nocookie.net/valorant/images/f/f3/Aemondir_Bulldog.png/revision/latest?cb=20240621121616,Aemondir Bulldog,Premium,Aemondir,1775,Bulldog
https://static.wikia.nocookie.net/valorant/images/a/ae/Aperture_Bulldog.png/revision/latest?cb=20240910162921,Aperture Bulldog,Deluxe,Aperture,1275,Bulldog
https://static.wikia.nocookie.net/valorant/images/2/24/Araxys_Bulldog.png/revision/latest?cb=20230711192336,Araxys Bulldog,Exclusive,Araxys,2175,Bulldog
https://static.wikia.nocookie.net/valorant/images/4/4b/Aristocrat_Bulldog.png/revision/latest?cb=20230711192524,Aristocrat Bulldog,Deluxe,Aristocrat,1275,Bulldog
https://static.wikia.nocookie.net/valorant/images/4/4b/Black.Market_Bulldog.png/revision/latest?cb=20230711192805,Black.Market Bulldog,Premium,Black.Market,1775,Bulldog
https://static.wikia.nocookie.net/valorant/images/1/1a/Chromedek_Bulldog.png/revision/latest?cb=20231114172535,Chromedek Bulldog,Deluxe,Chromedek,1275,Bulldog
https://static.wikia.nocookie.net/valorant/images/8/81/Combat_Crafts_Bulldog.png/revision/latest?cb=20241119184038,Combat Crafts Bulldog,Deluxe,Combat Crafts,1275,Bulldog
https://static.wikia.nocookie.net/valorant/images/b/b3/Convex_Bulldog.png/revision/latest?cb=20230711193529,Convex Bulldog,Select,Convex,875,Bulldog
https://static.wikia.nocookie.net/valorant/images/5/59/Cryostasis_Bulldog.png/revision/latest?cb=20230711193701,Cryostasis Bulldog,Premium,Cryostasis,1775,Bulldog
https://static.wikia.nocookie.net/valorant/images/2/23/Emberclad_Bulldog.png/revision/latest?cb=20240123213249,Emberclad Bulldog,Deluxe,Emberclad,1275,Bulldog
https://static.wikia.nocookie.net/valorant/images/f/f8/Endeavour_Bulldog.png/revision/latest?cb=20230711194323,Endeavour Bulldog,Select,Endeavour,875,Bulldog
https://static.wikia.nocookie.net/valorant/images/7/74/Glitchpop_Bulldog.png/revision/latest?cb=20230711194756,Glitchpop Bulldog,Exclusive,Glitchpop,2175,Bulldog
https://static.wikia.nocookie.net/valorant/images/0/00/Holomoku_Bulldog.png/revision/latest?cb=20240514190819,Holomoku Bulldog,Deluxe,Holomoku,1275,Bulldog
https://static.wikia.nocookie.net/valorant/images/a/a7/Horizon_Bulldog.png/revision/latest?cb=20230711195306,Horizon Bulldog,Deluxe,Horizon,1275,Bulldog
https://static.wikia.nocookie.net/valorant/images/a/a9/NO_LIMITS_Bulldog.png/revision/latest?cb=20230711201659,NO LIMITS Bulldog,Deluxe,NO LIMITS,1275,Bulldog
https://static.wikia.nocookie.net/valorant/images/6/6e/Nocturnum_Bulldog.png/revision/latest?cb=20240827165611,Nocturnum Bulldog,Exclusive,Nocturnum,2175,Bulldog
https://static.wikia.nocookie.net/valorant/images/0/0f/Nunca_Olvidados_Bulldog.png/revision/latest?cb=20230711201744,Nunca Olvidados Bulldog,Deluxe,Nunca Olvidados,1275,Bulldog
https://static.wikia.nocookie.net/valorant/images/0/0b/Oni_Bulldog.png/revision/latest?cb=20230711201902,Oni Bulldog,Premium,Oni,1775,Bulldog
https://static.wikia.nocookie.net/valorant/images/e/e2/Protocol_781-A_Bulldog.png/revision/latest?cb=20230711202937,Protocol 781-A Bulldog,Ultra,Protocol 781-A,2475,Bulldog
https://static.wikia.nocookie.net/valorant/images/6/6f/Radiant_Entertainment_System_Bulldog.png/revision/latest?cb=20230711203106,Radiant Entertainment System Bulldog,Ultra,Radiant Entertainment System,2975,Bulldog
https://static.wikia.nocookie.net/valorant/images/a/a7/Rush_Bulldog.png/revision/latest?cb=20230711204138,Rush Bulldog,Select,Rush,875,Bulldog
https://static.wikia.nocookie.net/valorant/images/9/9c/Spectrum_Bulldog.png/revision/latest?cb=20210908214451,Spectrum Bulldog,Exclusive,Spectrum,2675,Bulldog
https://static.wikia.nocookie.net/valorant/images/2/27/Undercity_Bulldog.png/revision/latest?cb=20230711210119,Undercity Bulldog,Premium,Undercity,1775,Bulldog
