Skin Image,Skin Name,Skin Edition,Skin Collection,Skin Cost,Skin Weapon
https://static.wikia.nocookie.net/valorant/images/9/92/Avalanche_Classic.png/revision/latest?cb=20230711192713,Avalanche Classic,Deluxe,Avalanche,1275,Classic
https://static.wikia.nocookie.net/valorant/images/e/e8/Black.Market_Classic.png/revision/latest?cb=20230711192817,Black.Market Classic,Premium,Black.Market,1775,Classic
https://static.wikia.nocookie.net/valorant/images/c/c9/Cryostasis_Classic.png/revision/latest?cb=20230711193708,Cryostasis Classic,Premium,Cryostasis,1775,Classic
https://static.wikia.nocookie.net/valorant/images/c/cb/Daydreams_Classic.png/revision/latest?cb=20230808163833,Daydreams Classic,Select,Daydreams,875,Classic
https://static.wikia.nocookie.net/valorant/images/8/89/Forsaken_Classic.png/revision/latest?cb=20230711194414,Forsaken Classic,Premium,Forsaken,1775,Classic
https://static.wikia.nocookie.net/valorant/images/f/f8/Galleria_Classic.png/revision/latest?cb=20230711194637,Galleria Classic,Select,Galleria,875,Classic
https://static.wikia.nocookie.net/valorant/images/6/65/Glitchpop_Classic.png/revision/latest?cb=20230711194815,Glitchpop Classic,Exclusive,Glitchpop,2175,Classic
https://static.wikia.nocookie.net/valorant/images/f/f8/Gravitational_Uranium_Neuroblaster_Classic.png/revision/latest?cb=20230711195121,Gravitational Uranium Neuroblaster Classic,Premium,Gravitational Uranium Neuroblaster,1775,Classic
https://static.wikia.nocookie.net/valorant/images/e/e5/Intergrade_Classic.png/revision/latest?cb=20230919155022,Intergrade Classic,Select,Intergrade,875,Classic
https://static.wikia.nocookie.net/valorant/images/9/95/Kohaku_%26_Matsuba_Classic.png/revision/latest?cb=20230711200307,Kohaku & Matsuba Classic,Deluxe,Kohaku & Matsuba,1275,Classic
https://static.wikia.nocookie.net/valorant/images/6/69/Nocturnum_Classic.png/revision/latest?cb=20240827165614,Nocturnum Classic,Exclusive,Nocturnum,2175,Classic
https://static.wikia.nocookie.net/valorant/images/c/cc/Prime_Classic.png/revision/latest?cb=20230711202547,Prime Classic,Premium,Prime,1775,Classic
https://static.wikia.nocookie.net/valorant/images/7/75/Radiant_Crisis_001_Classic.png/revision/latest?cb=20230711203040,Radiant Crisis 001 Classic,Premium,Radiant Crisis 001,1775,Classic
https://static.wikia.nocookie.net/valorant/images/c/c5/Reverie_Classic.png/revision/latest?cb=20230711203552,Reverie Classic,Select,Reverie,875,Classic
https://static.wikia.nocookie.net/valorant/images/8/87/RGX_11z_Pro_Classic.png/revision/latest?cb=20230711203653,RGX 11z Pro Classic,Exclusive,RGX 11z Pro,2175,Classic
https://static.wikia.nocookie.net/valorant/images/1/19/Sakura_Classic.png/revision/latest?cb=20230711204209,Sakura Classic,Deluxe,Sakura,1275,Classic
https://static.wikia.nocookie.net/valorant/images/8/84/Smite_Classic.png/revision/latest?cb=20230711204742,Smite Classic,Select,Smite,875,Classic
https://static.wikia.nocookie.net/valorant/images/e/ee/Snowfall_Classic.png/revision/latest?cb=20230711204826,Snowfall Classic,Deluxe,Snowfall,1275,Classic
https://static.wikia.nocookie.net/valorant/images/7/79/Spectrum_Classic.png/revision/latest?cb=20210908214458,Spectrum Classic,Exclusive,Spectrum,2675,Classic
https://static.wikia.nocookie.net/valorant/images/5/52/Spline_Classic.png/revision/latest?cb=20230711205158,Spline Classic,Premium,Spline,1775,Classic
https://static.wikia.nocookie.net/valorant/images/b/be/Switchback_Classic.png/revision/latest?cb=20240416150240,Switchback Classic,Select,Switchback,875,Classic
https://static.wikia.nocookie.net/valorant/images/8/8a/Undercity_Classic.png/revision/latest?cb=20230711210124,Undercity Classic,Premium,Undercity,1775,Classic
https://static.wikia.nocookie.net/valorant/images/a/ae/VALORANT_GO%21_Vol._2_Classic.png/revision/latest?cb=20230711210144,VALORANT GO! Vol. 2 Classic,Premium,VALORANT GO! Vol. 2,1775,Classic
