Skin Image,Skin Name,Skin Edition,Skin Collection,Skin Cost,Skin Weapon
https://static.wikia.nocookie.net/valorant/images/b/b4/BlastX_Frenzy.png/revision/latest?cb=20230711192904,BlastX Frenzy,Exclusive,BlastX,2175,Frenzy
https://static.wikia.nocookie.net/valorant/images/1/1b/Celestial_Frenzy.png/revision/latest?cb=20230711193156,Celestial Frenzy,Premium,Celestial,1775,Frenzy
https://static.wikia.nocookie.net/valorant/images/f/fa/Combat_Crafts_Frenzy.png/revision/latest?cb=20241119184039,Combat Crafts Frenzy,Deluxe,Combat Crafts,1275,Frenzy
https://static.wikia.nocookie.net/valorant/images/c/c4/Elderflame_Frenzy.png/revision/latest?cb=20230711194210,Elderflame Frenzy,Ultra,Elderflame,2475,Frenzy
https://static.wikia.nocookie.net/valorant/images/7/71/Emberclad_Frenzy.png/revision/latest?cb=20240123213250,Emberclad Frenzy,Deluxe,Emberclad,1275,Frenzy
https://static.wikia.nocookie.net/valorant/images/c/cd/Glitchpop_Frenzy.png/revision/latest?cb=20230711194839,Glitchpop Frenzy,Exclusive,Glitchpop,2175,Frenzy
https://static.wikia.nocookie.net/valorant/images/5/56/Holomoku_Frenzy.png/revision/latest?cb=20240514190828,Holomoku Frenzy,Deluxe,Holomoku,1275,Frenzy
https://static.wikia.nocookie.net/valorant/images/d/dc/Horizon_Frenzy.png/revision/latest?cb=20230711195312,Horizon Frenzy,Deluxe,Horizon,1275,Frenzy
https://static.wikia.nocookie.net/valorant/images/9/9f/Ion_Frenzy.png/revision/latest?cb=20230711195839,Ion Frenzy,Premium,Ion,1775,Frenzy
https://static.wikia.nocookie.net/valorant/images/f/f8/Nunca_Olvidados_Frenzy.png/revision/latest?cb=20230711201754,Nunca Olvidados Frenzy,Deluxe,Nunca Olvidados,1275,Frenzy
https://static.wikia.nocookie.net/valorant/images/a/a8/Oni_Frenzy.png/revision/latest?cb=20230711201928,Oni Frenzy,Premium,Oni,1775,Frenzy
https://static.wikia.nocookie.net/valorant/images/c/c8/Origin_Frenzy.png/revision/latest?cb=20230711202122,Origin Frenzy,Premium,Origin,1775,Frenzy
https://static.wikia.nocookie.net/valorant/images/c/cf/Orion_Frenzy.png/revision/latest?cb=20231017154850,Orion Frenzy,Deluxe,Orion,1275,Frenzy
https://static.wikia.nocookie.net/valorant/images/a/a4/Prime_2.0_Frenzy.png/revision/latest?cb=20230711202657,Prime 2.0 Frenzy,Premium,Prime//2.0,1775,Frenzy
https://static.wikia.nocookie.net/valorant/images/9/98/RGX_11z_Pro_Frenzy.png/revision/latest?cb=20230711203727,RGX 11z Pro Frenzy,Exclusive,RGX 11z Pro,2175,Frenzy
https://static.wikia.nocookie.net/valorant/images/3/3b/Rush_Frenzy.png/revision/latest?cb=20230711204143,Rush Frenzy,Select,Rush,875,Frenzy
https://static.wikia.nocookie.net/valorant/images/d/d1/Sarmad_Frenzy.png/revision/latest?cb=20230711204240,Sarmad Frenzy,Deluxe,Sarmad,1275,Frenzy
https://static.wikia.nocookie.net/valorant/images/5/5f/Sensation_Frenzy.png/revision/latest?cb=20230711204324,Sensation Frenzy,Select,Sensation,875,Frenzy
https://static.wikia.nocookie.net/valorant/images/f/fb/Sovereign_Frenzy.png/revision/latest?cb=20240326163819,Sovereign Frenzy,Premium,Sovereign,1775,Frenzy
https://static.wikia.nocookie.net/valorant/images/6/62/Team_Ace_Frenzy.png/revision/latest?cb=20230711205725,Team Ace Frenzy,Deluxe,Team Ace,1275,Frenzy
https://static.wikia.nocookie.net/valorant/images/d/d0/Titanmail_Frenzy.png/revision/latest?cb=20230711210036,Titanmail Frenzy,Deluxe,Titanmail,1275,Frenzy
https://static.wikia.nocookie.net/valorant/images/d/d5/Wonderstallion_Frenzy.png/revision/latest?cb=20240813162951,Wonderstallion Frenzy,Select,Wonderstallion,875,Frenzy
https://static.wikia.nocookie.net/valorant/images/1/17/Xenohunter_Frenzy.png/revision/latest?cb=20230711210607,Xenohunter Frenzy,Premium,Xenohunter,1775,Frenzy
