Skin Image,Skin Name,Skin Edition,Skin Collection,Skin Cost,Skin Weapon
https://static.wikia.nocookie.net/valorant/images/8/8e/Aperture_Ghost.png/revision/latest?cb=20240910162922,Aperture Ghost,Deluxe,Aperture,1275,Ghost
https://static.wikia.nocookie.net/valorant/images/6/6f/Ego_Ghost.png/revision/latest?cb=20230711194045,Ego Ghost,Premium,Ego,1775,Ghost
https://static.wikia.nocookie.net/valorant/images/7/72/Endeavour_Ghost.png/revision/latest?cb=20230711194328,Endeavour Ghost,Select,Endeavour,875,Ghost
https://static.wikia.nocookie.net/valorant/images/a/a9/Evori_Dreamwings_Ghost.png/revision/latest?cb=20240625161603,Evori Dreamwings Ghost,Ultra,Evori Dreamwings,2475,Ghost
https://static.wikia.nocookie.net/valorant/images/b/be/Fortune%27s_Hand_Ghost.png/revision/latest?cb=20240305163632,Fortune's Hand Ghost,Select,Fortune's Hand,875,Ghost
https://static.wikia.nocookie.net/valorant/images/4/46/Gaia%27s_Vengeance_Ghost.png/revision/latest?cb=20230711194511,Gaia's Vengeance Ghost,Premium,Gaia's Vengeance,1775,Ghost
https://static.wikia.nocookie.net/valorant/images/b/b9/Infantry_Ghost.png/revision/latest?cb=20230711195600,Infantry Ghost,Select,Infantry,875,Ghost
https://static.wikia.nocookie.net/valorant/images/5/5d/Luna_Ghost.png/revision/latest?cb=20230711200554,Luna Ghost,Deluxe,Luna,1275,Ghost
https://static.wikia.nocookie.net/valorant/images/1/10/Luxe_Ghost.png/revision/latest?cb=20230711200624,Luxe Ghost,Select,Luxe,875,Ghost
https://static.wikia.nocookie.net/valorant/images/9/92/Magepunk_Ghost.png/revision/latest?cb=20230711200834,Magepunk Ghost,Premium,Magepunk,1775,Ghost
https://static.wikia.nocookie.net/valorant/images/f/f9/NO_LIMITS_Ghost.png/revision/latest?cb=20230711201704,NO LIMITS Ghost,Deluxe,NO LIMITS,1275,Ghost
https://static.wikia.nocookie.net/valorant/images/c/ce/Prism_Ghost.png/revision/latest?cb=20230711202711,Prism Ghost,Deluxe,Prism,1275,Ghost
https://static.wikia.nocookie.net/valorant/images/0/05/Radiant_Entertainment_System_Ghost.png/revision/latest?cb=20230711203120,Radiant Entertainment System Ghost,Ultra,Radiant Entertainment System,2975,Ghost
https://static.wikia.nocookie.net/valorant/images/2/26/Reaver_Ghost.png/revision/latest?cb=20230711203205,Reaver Ghost,Premium,Reaver,1775,Ghost
https://static.wikia.nocookie.net/valorant/images/e/e7/Recon_Ghost.png/revision/latest?cb=20230711203424,Recon Ghost,Premium,Recon,1775,Ghost
https://static.wikia.nocookie.net/valorant/images/6/6b/Ruination_Ghost.png/revision/latest?cb=20230711204009,Ruination Ghost,Exclusive,Ruination,2175,Ghost
https://static.wikia.nocookie.net/valorant/images/a/aa/Singularity_Ghost.png/revision/latest?cb=20240924172250,Singularity Ghost,Exclusive,Singularity,2175,Ghost
https://static.wikia.nocookie.net/valorant/images/d/d7/Soulstrife_Ghost.png/revision/latest?cb=20230711204913,Soulstrife Ghost,Premium,Soulstrife,1775,Ghost
https://static.wikia.nocookie.net/valorant/images/2/24/Sovereign_Ghost.png/revision/latest?cb=20230711204955,Sovereign Ghost,Premium,Sovereign,1775,Ghost
https://static.wikia.nocookie.net/valorant/images/f/f9/Tethered_Realms_Ghost.png/revision/latest?cb=20230711205813,Tethered Realms Ghost,Premium,Tethered Realms,1775,Ghost
https://static.wikia.nocookie.net/valorant/images/e/ec/Valiant_Hero_Ghost.png/revision/latest?cb=20231031131123,Valiant Hero Ghost,Premium,Valiant Hero,1775,Ghost
https://static.wikia.nocookie.net/valorant/images/c/c2/VALORANT_GO%21_Vol._1_Ghost.png/revision/latest?cb=20230711210138,VALORANT GO! Vol. 1 Ghost,Premium,VALORANT GO! Vol. 1,1775,Ghost
https://static.wikia.nocookie.net/valorant/images/f/fe/Winterwunderland_Ghost.png/revision/latest?cb=20230711210534,Winterwunderland Ghost,Deluxe,Winterwunderland,1275,Ghost
https://static.wikia.nocookie.net/valorant/images/c/cb/XER%C3%98FANG_Ghost.png/revision/latest?cb=20240206163514,XERØFANG Ghost,Premium,XERØFANG,1775,Ghost
