Skin Image,Skin Name,Skin Edition,Skin Collection,Skin Cost,Skin Weapon
https://static.wikia.nocookie.net/valorant/images/a/a3/Abyssal_Guardian.png/revision/latest?cb=20230711192014,Abyssal Guardian,Deluxe,Abyssal,1275,Guardian
https://static.wikia.nocookie.net/valorant/images/d/d4/Araxys_Guardian.png/revision/latest?cb=20241210223722,Araxys Guardian,Exclusive,Araxys,2175,Guardian
https://static.wikia.nocookie.net/valorant/images/5/54/Ego_Guardian.png/revision/latest?cb=20230711194101,Ego Guardian,Premium,Ego,1775,Guardian
https://static.wikia.nocookie.net/valorant/images/8/8a/Fortune%27s_Hand_Guardian.png/revision/latest?cb=20240305163633,Fortune's Hand Guardian,Select,Fortune's Hand,875,Guardian
https://static.wikia.nocookie.net/valorant/images/1/19/Gaia%27s_Vengeance_Guardian.png/revision/latest?cb=20230711194530,Gaia's Vengeance Guardian,Premium,Gaia's Vengeance,1775,Guardian
https://static.wikia.nocookie.net/valorant/images/6/60/Galleria_Guardian.png/revision/latest?cb=20230711194646,Galleria Guardian,Select,Galleria,875,Guardian
https://static.wikia.nocookie.net/valorant/images/1/1b/Infantry_Guardian.png/revision/latest?cb=20230711195606,Infantry Guardian,Select,Infantry,875,Guardian
https://static.wikia.nocookie.net/valorant/images/c/ca/Intergrade_Guardian.png/revision/latest?cb=20230919155023,Intergrade Guardian,Select,Intergrade,875,Guardian
https://static.wikia.nocookie.net/valorant/images/a/a6/Magepunk_Guardian.png/revision/latest?cb=20230711200850,Magepunk Guardian,Premium,Magepunk,1775,Guardian
https://static.wikia.nocookie.net/valorant/images/9/9e/MK.VII_Liberty_Guardian.png/revision/latest?cb=20240221183110,MK.VII Liberty Guardian,Deluxe,MK.VII Liberty,1275,Guardian
https://static.wikia.nocookie.net/valorant/images/f/f0/Nebula_Guardian.png/revision/latest?cb=20230711201357,Nebula Guardian,Premium,Nebula,1775,Guardian
https://static.wikia.nocookie.net/valorant/images/a/a5/Neptune_Guardian.png/revision/latest?cb=20230711201558,Neptune Guardian,Premium,Neptune,1775,Guardian
https://static.wikia.nocookie.net/valorant/images/2/22/Oni_Guardian.png/revision/latest?cb=20230711201937,Oni Guardian,Premium,Oni,1775,Guardian
https://static.wikia.nocookie.net/valorant/images/d/d1/Prime_Guardian.png/revision/latest?cb=20230711202609,Prime Guardian,Premium,Prime,1775,Guardian
https://static.wikia.nocookie.net/valorant/images/c/cc/Reaver_Guardian.png/revision/latest?cb=20230711203221,Reaver Guardian,Premium,Reaver,1775,Guardian
https://static.wikia.nocookie.net/valorant/images/6/6e/Recon_Guardian.png/revision/latest?cb=20230711203439,Recon Guardian,Premium,Recon,1775,Guardian
https://static.wikia.nocookie.net/valorant/images/6/6b/Reverie_Guardian.png/revision/latest?cb=20230711203559,Reverie Guardian,Select,Reverie,875,Guardian
https://static.wikia.nocookie.net/valorant/images/5/55/RGX_11z_Pro_Guardian.png/revision/latest?cb=20230711203744,RGX 11z Pro Guardian,Exclusive,RGX 11z Pro,2175,Guardian
https://static.wikia.nocookie.net/valorant/images/3/3f/Ruination_Guardian.png/revision/latest?cb=20230711204027,Ruination Guardian,Exclusive,Ruination,2175,Guardian
https://static.wikia.nocookie.net/valorant/images/b/ba/Soulstrife_Guardian.png/revision/latest?cb=20230711204920,Soulstrife Guardian,Premium,Soulstrife,1775,Guardian
https://static.wikia.nocookie.net/valorant/images/b/b3/Sovereign_Guardian.png/revision/latest?cb=20230711205013,Sovereign Guardian,Premium,Sovereign,1775,Guardian
https://static.wikia.nocookie.net/valorant/images/2/2e/Spectrum_Guardian.png/revision/latest?cb=20210908214456,Spectrum Guardian,Exclusive,Spectrum,2675,Guardian
https://static.wikia.nocookie.net/valorant/images/d/d7/Tethered_Realms_Guardian.png/revision/latest?cb=20230711205821,Tethered Realms Guardian,Premium,Tethered Realms,1775,Guardian
https://static.wikia.nocookie.net/valorant/images/7/76/VALORANT_GO%21_Vol._1_Guardian.png/revision/latest?cb=20230711210139,VALORANT GO! Vol. 1 Guardian,Premium,VALORANT GO! Vol. 1,1775,Guardian
https://static.wikia.nocookie.net/valorant/images/5/5b/Wonderstallion_Guardian.png/revision/latest?cb=20240813162952,Wonderstallion Guardian,Select,Wonderstallion,875,Guardian
