Skin Image,Skin Name,Skin Edition,Skin Collection,Skin Cost,Skin Weapon
https://static.wikia.nocookie.net/valorant/images/0/00/Celestial_Judge.png/revision/latest?cb=20230711193201,Celestial Judge,Premium,Celestial,1775,Judge
https://static.wikia.nocookie.net/valorant/images/a/ae/ChronoVoid_Judge.png/revision/latest?cb=20230711193259,ChronoVoid Judge,Exclusive,ChronoVoid,2175,Judge
https://static.wikia.nocookie.net/valorant/images/9/96/Combat_Crafts_Judge.png/revision/latest?cb=20241119184039,Combat Crafts Judge,Deluxe,Combat Crafts,1275,Judge
https://static.wikia.nocookie.net/valorant/images/2/28/Convex_Judge.png/revision/latest?cb=20230711193536,Convex Judge,Select,Convex,875,Judge
https://static.wikia.nocookie.net/valorant/images/7/79/Crimsonbeast_Judge.png/revision/latest?cb=20230711193639,Crimsonbeast Judge,Premium,Crimsonbeast,1775,Judge
https://static.wikia.nocookie.net/valorant/images/4/48/Daydreams_Judge.png/revision/latest?cb=20230808163833,Daydreams Judge,Select,Daydreams,875,Judge
https://static.wikia.nocookie.net/valorant/images/f/f8/Doombringer_Judge.png/revision/latest?cb=20241022162952,Doombringer Judge,Exclusive,Doombringer,2175,Judge
https://static.wikia.nocookie.net/valorant/images/c/c6/Elderflame_Judge.png/revision/latest?cb=20230711194228,Elderflame Judge,Ultra,Elderflame,2475,Judge
https://static.wikia.nocookie.net/valorant/images/e/e1/Glitchpop_Judge.png/revision/latest?cb=20230711194900,Glitchpop Judge,Exclusive,Glitchpop,2175,Judge
https://static.wikia.nocookie.net/valorant/images/7/72/Imperium_Judge.png/revision/latest?cb=20230829125630,Imperium Judge,Exclusive,Imperium,2175,Judge
https://static.wikia.nocookie.net/valorant/images/7/77/Kohaku_%26_Matsuba_Judge.png/revision/latest?cb=20230711200317,Kohaku & Matsuba Judge,Deluxe,Kohaku & Matsuba,1275,Judge
https://static.wikia.nocookie.net/valorant/images/4/48/Luxe_Judge.png/revision/latest?cb=20230711200640,Luxe Judge,Select,Luxe,875,Judge
https://static.wikia.nocookie.net/valorant/images/2/24/MK.VII_Liberty_Judge.png/revision/latest?cb=20240221183114,MK.VII Liberty Judge,Deluxe,MK.VII Liberty,1275,Judge
https://static.wikia.nocookie.net/valorant/images/0/0b/Mystbloom_Judge.png/revision/latest?cb=20240430173702,Mystbloom Judge,Exclusive,Mystbloom,2175,Judge
https://static.wikia.nocookie.net/valorant/images/1/15/Rush_Judge.png/revision/latest?cb=20230711204150,Rush Judge,Select,Rush,875,Judge
https://static.wikia.nocookie.net/valorant/images/6/68/Sensation_Judge.png/revision/latest?cb=20230711204329,Sensation Judge,Select,Sensation,875,Judge
https://static.wikia.nocookie.net/valorant/images/9/9b/Smite_Judge.png/revision/latest?cb=20230711204747,Smite Judge,Select,Smite,875,Judge
https://static.wikia.nocookie.net/valorant/images/7/76/Snowfall_Judge.png/revision/latest?cb=20230711204831,Snowfall Judge,Deluxe,Snowfall,1275,Judge
https://static.wikia.nocookie.net/valorant/images/2/2d/Sovereign_Judge.png/revision/latest?cb=20240326163822,Sovereign Judge,Premium,Sovereign,1775,Judge
https://static.wikia.nocookie.net/valorant/images/8/88/Team_Ace_Judge.png/revision/latest?cb=20230711205731,Team Ace Judge,Deluxe,Team Ace,1275,Judge
https://static.wikia.nocookie.net/valorant/images/3/37/Undercity_Judge.png/revision/latest?cb=20230711210129,Undercity Judge,Premium,Undercity,1775,Judge
