Skin Image,Skin Name,Skin Edition,Skin Collection,Skin Cost,Skin Weapon
https://static.wikia.nocookie.net/valorant/images/f/f0/Avalanche_Marshal.png/revision/latest?cb=20230711192721,Avalanche Marshal,Deluxe,Avalanche,1275,Marshal
https://static.wikia.nocookie.net/valorant/images/0/08/Black.Market_Marshal.png/revision/latest?cb=20230711192824,Black.Market Marshal,Premium,Black.Market,1775,Marshal
https://static.wikia.nocookie.net/valorant/images/f/f4/Chromedek_Marshal.png/revision/latest?cb=20231114172546,Chromedek Marshal,Deluxe,Chromedek,1275,Marshal
https://static.wikia.nocookie.net/valorant/images/5/5c/Crimsonbeast_Marshal.png/revision/latest?cb=20230711193645,Crimsonbeast Marshal,Premium,Crimsonbeast,1775,Marshal
https://static.wikia.nocookie.net/valorant/images/f/f8/Doodle_Buds_Marshal.png/revision/latest?cb=20230711193938,Doodle Buds Marshal,Premium,Doodle Buds,1775,Marshal
https://static.wikia.nocookie.net/valorant/images/c/c0/Gaia%27s_Vengeance_Marshal.png/revision/latest?cb=20230711194552,Gaia's Vengeance Marshal,Premium,Gaia's Vengeance,1775,Marshal
https://static.wikia.nocookie.net/valorant/images/7/78/Galleria_Marshal.png/revision/latest?cb=20230711194652,Galleria Marshal,Select,Galleria,875,Marshal
https://static.wikia.nocookie.net/valorant/images/d/d1/Kuronami_Marshal.png/revision/latest?cb=20240109154310,Kuronami Marshal,Exclusive,Kuronami,2375,Marshal
https://static.wikia.nocookie.net/valorant/images/6/6e/Luna_Marshal.png/revision/latest?cb=20230711200601,Luna Marshal,Deluxe,Luna,1275,Marshal
https://static.wikia.nocookie.net/valorant/images/5/5a/Magepunk_Marshal.png/revision/latest?cb=20230711200909,Magepunk Marshal,Premium,Magepunk,1775,Marshal
https://static.wikia.nocookie.net/valorant/images/a/a2/Neo_Frontier_Marshal.png/revision/latest?cb=20230711201453,Neo Frontier Marshal,Exclusive,Neo Frontier,2175,Marshal
https://static.wikia.nocookie.net/valorant/images/0/0e/Nocturnum_Marshal.png/revision/latest?cb=20240827165617,Nocturnum Marshal,Exclusive,Nocturnum,2175,Marshal
https://static.wikia.nocookie.net/valorant/images/1/19/Reverie_Marshal.png/revision/latest?cb=20230711203605,Reverie Marshal,Select,Reverie,875,Marshal
https://static.wikia.nocookie.net/valorant/images/9/91/Sovereign_Marshal.png/revision/latest?cb=20230711205032,Sovereign Marshal,Premium,Sovereign,1775,Marshal
https://static.wikia.nocookie.net/valorant/images/6/6f/Switchback_Marshal.png/revision/latest?cb=20240416150240,Switchback Marshal,Select,Switchback,875,Marshal
https://static.wikia.nocookie.net/valorant/images/c/cf/Wasteland_Marshal.png/revision/latest?cb=20230711210432,Wasteland Marshal,Deluxe,Wasteland,1275,Marshal
https://static.wikia.nocookie.net/valorant/images/6/60/Winterwunderland_Marshal.png/revision/latest?cb=20230711210539,Winterwunderland Marshal,Deluxe,Winterwunderland,1275,Marshal
