Skin Image,Skin Name,Skin Edition,Skin Collection,Skin Cost,Skin Weapon
https://static.wikia.nocookie.net/valorant/images/f/fc/Altitude_Odin.png/revision/latest?cb=20230711192230,Altitude Odin,Deluxe,Altitude,1275,Odin
https://static.wikia.nocookie.net/valorant/images/1/13/BlastX_Odin.png/revision/latest?cb=20230711192921,BlastX Odin,Exclusive,BlastX,2175,Odin
https://static.wikia.nocookie.net/valorant/images/6/64/Doombringer_Odin.png/revision/latest?cb=20241022162955,Doombringer Odin,Exclusive,Doombringer,2175,Odin
https://static.wikia.nocookie.net/valorant/images/e/e9/Evori_Dreamwings_Odin.png/revision/latest?cb=20240625161606,Evori Dreamwings Odin,Ultra,Evori Dreamwings,2475,Odin
https://static.wikia.nocookie.net/valorant/images/e/e7/Fortune%27s_Hand_Odin.png/revision/latest?cb=20240305163634,Fortune's Hand Odin,Select,Fortune's Hand,875,Odin
https://static.wikia.nocookie.net/valorant/images/5/5f/Glitchpop_Odin.png/revision/latest?cb=20230711194921,Glitchpop Odin,Exclusive,Glitchpop,2175,Odin
https://static.wikia.nocookie.net/valorant/images/2/2d/Neo_Frontier_Odin.png/revision/latest?cb=20230711201509,Neo Frontier Odin,Exclusive,Neo Frontier,2175,Odin
https://static.wikia.nocookie.net/valorant/images/9/91/Orion_Odin.png/revision/latest?cb=20231017154850,Orion Odin,Deluxe,Orion,1275,Odin
https://static.wikia.nocookie.net/valorant/images/d/de/Prime_2.0_Odin.png/revision/latest?cb=20230711202701,Prime 2.0 Odin,Premium,Prime//2.0,1775,Odin
https://static.wikia.nocookie.net/valorant/images/3/39/Reaver_Odin.png/revision/latest?cb=20230711203241,Reaver Odin,Premium,Reaver,1775,Odin
https://static.wikia.nocookie.net/valorant/images/3/31/Sensation_Odin.png/revision/latest?cb=20230711204335,Sensation Odin,Select,Sensation,875,Odin
https://static.wikia.nocookie.net/valorant/images/8/81/Sentinels_of_Light_Odin.png/revision/latest?cb=20231114172552,Sentinels of Light Odin,Exclusive,Sentinels of Light,2175,Odin
https://static.wikia.nocookie.net/valorant/images/2/22/Smite_Odin.png/revision/latest?cb=20230711204800,Smite Odin,Select,Smite,875,Odin
https://static.wikia.nocookie.net/valorant/images/6/6d/Sovereign_Odin.png/revision/latest?cb=20240326163825,Sovereign Odin,Premium,Sovereign,1775,Odin
https://static.wikia.nocookie.net/valorant/images/7/70/Xenohunter_Odin.png/revision/latest?cb=20230711210617,Xenohunter Odin,Premium,Xenohunter,1775,Odin
