Skin Image,Skin Name,Skin Edition,Skin Collection,Skin Cost,Skin Weapon
https://static.wikia.nocookie.net/valorant/images/f/fe/Araxys_Operator.png/revision/latest?cb=20230711192359,Araxys Operator,Exclusive,Araxys,2175,Operator
https://static.wikia.nocookie.net/valorant/images/d/d4/Convex_Operator.png/revision/latest?cb=20230711193542,Convex Operator,Select,Convex,875,Operator
https://static.wikia.nocookie.net/valorant/images/3/3e/Cryostasis_Operator.png/revision/latest?cb=20230711193721,Cryostasis Operator,Premium,Cryostasis,1775,Operator
https://static.wikia.nocookie.net/valorant/images/d/d9/Daydreams_Operator.png/revision/latest?cb=20230808163839,Daydreams Operator,Select,Daydreams,875,Operator
https://static.wikia.nocookie.net/valorant/images/e/ed/Elderflame_Operator.png/revision/latest?cb=20230711194248,Elderflame Operator,Ultra,Elderflame,2475,Operator
https://static.wikia.nocookie.net/valorant/images/4/45/Endeavour_Operator.png/revision/latest?cb=20230711194333,Endeavour Operator,Select,Endeavour,875,Operator
https://static.wikia.nocookie.net/valorant/images/d/d4/Forsaken_Operator.png/revision/latest?cb=20230711194425,Forsaken Operator,Premium,Forsaken,1775,Operator
https://static.wikia.nocookie.net/valorant/images/e/e4/Glitchpop_Operator.png/revision/latest?cb=20230711194941,Glitchpop Operator,Exclusive,Glitchpop,2175,Operator
https://static.wikia.nocookie.net/valorant/images/a/a1/Gravitational_Uranium_Neuroblaster_Operator.png/revision/latest?cb=20230711195138,Gravitational Uranium Neuroblaster Operator,Premium,Gravitational Uranium Neuroblaster,1775,Operator
https://static.wikia.nocookie.net/valorant/images/d/d8/Imperium_Operator.png/revision/latest?cb=20230829125633,Imperium Operator,Exclusive,Imperium,2175,Operator
https://static.wikia.nocookie.net/valorant/images/7/7d/Infantry_Operator.png/revision/latest?cb=20230711195612,Infantry Operator,Select,Infantry,875,Operator
https://static.wikia.nocookie.net/valorant/images/e/eb/Intergrade_Operator.png/revision/latest?cb=20230919155024,Intergrade Operator,Select,Intergrade,875,Operator
https://static.wikia.nocookie.net/valorant/images/b/b8/Ion_Operator.png/revision/latest?cb=20230711195909,Ion Operator,Premium,Ion,1775,Operator
https://static.wikia.nocookie.net/valorant/images/3/3b/Kohaku_%26_Matsuba_Operator.png/revision/latest?cb=20230711200328,Kohaku & Matsuba Operator,Deluxe,Kohaku & Matsuba,1275,Operator
https://static.wikia.nocookie.net/valorant/images/b/be/Luxe_Operator.png/revision/latest?cb=20230711200653,Luxe Operator,Select,Luxe,875,Operator
https://static.wikia.nocookie.net/valorant/images/0/08/Magepunk_Operator.png/revision/latest?cb=20230711200925,Magepunk Operator,Premium,Magepunk,1775,Operator
https://static.wikia.nocookie.net/valorant/images/c/cf/Minima_Operator.png/revision/latest?cb=20230711201124,Minima Operator,Deluxe,Minima,1275,Operator
https://static.wikia.nocookie.net/valorant/images/c/c1/MK.VII_Liberty_Operator.png/revision/latest?cb=20240221183117,MK.VII Liberty Operator,Deluxe,MK.VII Liberty,1275,Operator
https://static.wikia.nocookie.net/valorant/images/f/f9/Mystbloom_Operator.png/revision/latest?cb=20240430173707,Mystbloom Operator,Exclusive,Mystbloom,2175,Operator
https://static.wikia.nocookie.net/valorant/images/d/da/Origin_Operator.png/revision/latest?cb=20230711202136,Origin Operator,Premium,Origin,1775,Operator
https://static.wikia.nocookie.net/valorant/images/4/48/Prelude_to_Chaos_Operator.png/revision/latest?cb=20230711202409,Prelude to Chaos Operator,Exclusive,Prelude to Chaos,2175,Operator
https://static.wikia.nocookie.net/valorant/images/a/a6/Prism_Operator.png/revision/latest?cb=20230711202859,Prism Operator,Deluxe,Prism,1275,Operator
https://static.wikia.nocookie.net/valorant/images/5/53/Radiant_Entertainment_System_Operator.png/revision/latest?cb=20230711203136,Radiant Entertainment System Operator,Ultra,Radiant Entertainment System,2975,Operator
https://static.wikia.nocookie.net/valorant/images/e/e7/Reaver_Operator.png/revision/latest?cb=20230711203258,Reaver Operator,Premium,Reaver,1775,Operator
https://static.wikia.nocookie.net/valorant/images/4/4c/RGX_11z_Pro_Operator.png/revision/latest?cb=20230711203800,RGX 11z Pro Operator,Exclusive,RGX 11z Pro,2175,Operator
https://static.wikia.nocookie.net/valorant/images/a/a7/Sentinels_of_Light_Operator.png/revision/latest?cb=20230711204400,Sentinels of Light Operator,Exclusive,Sentinels of Light,2175,Operator
https://static.wikia.nocookie.net/valorant/images/7/73/Silvanus_Operator.png/revision/latest?cb=20230711204559,Silvanus Operator,Deluxe,Silvanus,1275,Operator
https://static.wikia.nocookie.net/valorant/images/0/08/Spline_Operator.png/revision/latest?cb=20230711205218,Spline Operator,Premium,Spline,1775,Operator
https://static.wikia.nocookie.net/valorant/images/a/ab/Team_Ace_Operator.png/revision/latest?cb=20230711205736,Team Ace Operator,Deluxe,Team Ace,1275,Operator
https://static.wikia.nocookie.net/valorant/images/b/b8/Tethered_Realms_Operator.png/revision/latest?cb=20230711205826,Tethered Realms Operator,Premium,Tethered Realms,1775,Operator
https://static.wikia.nocookie.net/valorant/images/b/b5/Tigris_Operator.png/revision/latest?cb=20230711205836,Tigris Operator,Deluxe,Tigris,1275,Operator
https://static.wikia.nocookie.net/valorant/images/f/f0/Valiant_Hero_Operator.png/revision/latest?cb=20231031131126,Valiant Hero Operator,Premium,Valiant Hero,1775,Operator
https://static.wikia.nocookie.net/valorant/images/8/8d/VALORANT_GO%21_Vol._2_Operator.png/revision/latest?cb=20230711210145,VALORANT GO! Vol. 2 Operator,Premium,VALORANT GO! Vol. 2,1775,Operator
