Skin Image,Skin Name,Skin Edition,Skin Collection,Skin Cost,Skin Weapon
https://static.wikia.nocookie.net/valorant/images/e/ec/Abyssal_Sheriff.png/revision/latest?cb=20230711192027,Abyssal Sheriff,Deluxe,Abyssal,1275,Sheriff
https://static.wikia.nocookie.net/valorant/images/0/02/Aemondir_Sheriff.png/revision/latest?cb=20240621121632,Aemondir Sheriff,Premium,Aemondir,1775,Sheriff
https://static.wikia.nocookie.net/valorant/images/e/eb/Altitude_Sheriff.png/revision/latest?cb=20230711192240,Altitude Sheriff,Deluxe,Altitude,1275,Sheriff
https://static.wikia.nocookie.net/valorant/images/1/19/Arcane_Sheriff.png/revision/latest?cb=20230711192511,Arcane Sheriff,Exclusive,Arcane,2377(bundle only),Sheriff
https://static.wikia.nocookie.net/valorant/images/e/ea/Aristocrat_Sheriff.png/revision/latest?cb=20230711192530,Aristocrat Sheriff,Deluxe,Aristocrat,1275,Sheriff
https://static.wikia.nocookie.net/valorant/images/6/69/ChronoVoid_Sheriff.png/revision/latest?cb=20230711193343,ChronoVoid Sheriff,Exclusive,ChronoVoid,2175,Sheriff
https://static.wikia.nocookie.net/valorant/images/6/6a/Convex_Sheriff.png/revision/latest?cb=20230711193549,Convex Sheriff,Select,Convex,875,Sheriff
https://static.wikia.nocookie.net/valorant/images/4/42/Crimsonbeast_Sheriff.png/revision/latest?cb=20230711193650,Crimsonbeast Sheriff,Premium,Crimsonbeast,1775,Sheriff
https://static.wikia.nocookie.net/valorant/images/2/2e/Doombringer_Sheriff.png/revision/latest?cb=20241022163002,Doombringer Sheriff,Exclusive,Doombringer,2175,Sheriff
https://static.wikia.nocookie.net/valorant/images/5/5a/Imperium_Sheriff.png/revision/latest?cb=20230829125554,Imperium Sheriff,Exclusive,Imperium,2175,Sheriff
https://static.wikia.nocookie.net/valorant/images/0/08/Ion_Sheriff.png/revision/latest?cb=20230711195922,Ion Sheriff,Premium,Ion,1775,Sheriff
https://static.wikia.nocookie.net/valorant/images/3/3c/Kuronami_Sheriff.png/revision/latest?cb=20240109154316,Kuronami Sheriff,Exclusive,Kuronami,2375,Sheriff
https://static.wikia.nocookie.net/valorant/images/2/2f/Magepunk_Sheriff.png/revision/latest?cb=20230711201001,Magepunk Sheriff,Premium,Magepunk,1775,Sheriff
https://static.wikia.nocookie.net/valorant/images/4/49/Minima_Sheriff.png/revision/latest?cb=20230711201136,Minima Sheriff,Deluxe,Minima,1275,Sheriff
https://static.wikia.nocookie.net/valorant/images/0/0d/Mystbloom_Sheriff.png/revision/latest?cb=20240430173635,Mystbloom Sheriff,Exclusive,Mystbloom,2175,Sheriff
https://static.wikia.nocookie.net/valorant/images/2/23/Nebula_Sheriff.png/revision/latest?cb=20230711201419,Nebula Sheriff,Premium,Nebula,1775,Sheriff
https://static.wikia.nocookie.net/valorant/images/1/10/Neo_Frontier_Sheriff.png/revision/latest?cb=20230711201544,Neo Frontier Sheriff,Exclusive,Neo Frontier,2175,Sheriff
https://static.wikia.nocookie.net/valorant/images/e/e2/Overdrive_Sheriff.png/revision/latest?cb=20231205181725,Overdrive Sheriff,Exclusive,Overdrive,2175,Sheriff
https://static.wikia.nocookie.net/valorant/images/f/f9/Prism_II_Sheriff.png/revision/latest?cb=20230711202723,Prism II Sheriff,Select,Prism II,875,Sheriff
https://static.wikia.nocookie.net/valorant/images/d/d1/Protocol_781-A_Sheriff.png/revision/latest?cb=20230711203009,Protocol 781-A Sheriff,Ultra,Protocol 781-A,2475,Sheriff
https://static.wikia.nocookie.net/valorant/images/f/fd/Reaver_Sheriff.png/revision/latest?cb=20230711203322,Reaver Sheriff,Premium,Reaver,1775,Sheriff
https://static.wikia.nocookie.net/valorant/images/3/39/RGX_11z_Pro_Sheriff.png/revision/latest?cb=20240716162850,RGX 11z Pro Sheriff,Exclusive,RGX 11z Pro,2175,Sheriff
https://static.wikia.nocookie.net/valorant/images/e/e7/Sakura_Sheriff.png/revision/latest?cb=20230711204216,Sakura Sheriff,Deluxe,Sakura,1275,Sheriff
https://static.wikia.nocookie.net/valorant/images/f/f1/Sentinels_of_Light_Sheriff.png/revision/latest?cb=20230711204403,Sentinels of Light Sheriff,Exclusive,Sentinels of Light,2175,Sheriff
https://static.wikia.nocookie.net/valorant/images/9/9f/Silvanus_Sheriff.png/revision/latest?cb=20230711204609,Silvanus Sheriff,Deluxe,Silvanus,1275,Sheriff
https://static.wikia.nocookie.net/valorant/images/9/9f/Singularity_Sheriff.png/revision/latest?cb=20230711204719,Singularity Sheriff,Exclusive,Singularity,2175,Sheriff
https://static.wikia.nocookie.net/valorant/images/d/d5/Wasteland_Sheriff.png/revision/latest?cb=20230711210438,Wasteland Sheriff,Deluxe,Wasteland,1275,Sheriff
