Skin Image,Skin Name,Skin Edition,Skin Collection,Skin Cost,Skin Weapon
https://static.wikia.nocookie.net/valorant/images/e/e4/Araxys_Shorty.png/revision/latest?cb=20230711192434,Araxys Shorty,Exclusive,Araxys,2175,Shorty
https://static.wikia.nocookie.net/valorant/images/8/86/Chromedek_Shorty.png/revision/latest?cb=20231114172535,Chromedek Shorty,Deluxe,Chromedek,1275,Shorty
https://static.wikia.nocookie.net/valorant/images/d/d5/Doodle_Buds_Shorty.png/revision/latest?cb=20230711194003,Doodle Buds Shorty,Premium,Doodle Buds,1775,Shorty
https://static.wikia.nocookie.net/valorant/images/7/7f/Gaia%27s_Vengeance_Shorty.png/revision/latest?cb=20231003161245,Gaia's Vengeance Shorty,Premium,Gaia's Vengeance,1775,Shorty
https://static.wikia.nocookie.net/valorant/images/4/48/Neptune_Shorty.png/revision/latest?cb=20230711201607,Neptune Shorty,Premium,Neptune,1775,Shorty
https://static.wikia.nocookie.net/valorant/images/b/b7/Oni_Shorty.png/revision/latest?cb=20230711201957,Oni Shorty,Premium,Oni,1775,Shorty
https://static.wikia.nocookie.net/valorant/images/7/78/Prelude_to_Chaos_Shorty.png/revision/latest?cb=20230711202424,Prelude to Chaos Shorty,Exclusive,Prelude to Chaos,2175,Shorty
https://static.wikia.nocookie.net/valorant/images/a/ad/Primordium_Shorty.png/revision/latest?cb=20240305163642,Primordium Shorty,Exclusive,Primordium,2175,Shorty
https://static.wikia.nocookie.net/valorant/images/0/01/Prism_II_Shorty.png/revision/latest?cb=20230711202729,Prism II Shorty,Select,Prism II,875,Shorty
https://static.wikia.nocookie.net/valorant/images/c/cd/Sentinels_of_Light_Shorty.png/revision/latest?cb=20231114172541,Sentinels of Light Shorty,Exclusive,Sentinels of Light,2175,Shorty
https://static.wikia.nocookie.net/valorant/images/4/4c/Tigris_Shorty.png/revision/latest?cb=20230711205846,Tigris Shorty,Deluxe,Tigris,1275,Shorty
https://static.wikia.nocookie.net/valorant/images/9/9a/Wasteland_Shorty.png/revision/latest?cb=20230711210443,Wasteland Shorty,Deluxe,Wasteland,1275,Shorty
