Skin Image,Skin Name,Skin Edition,Skin Collection,Skin Cost,Skin Weapon
https://static.wikia.nocookie.net/valorant/images/6/61/Abyssal_Spectre.png/revision/latest?cb=20230711192034,Abyssal Spectre,Deluxe,Abyssal,1275,Spectre
https://static.wikia.nocookie.net/valorant/images/f/f5/Avalanche_Spectre.png/revision/latest?cb=20230711192751,Avalanche Spectre,Deluxe,Avalanche,1275,Spectre
https://static.wikia.nocookie.net/valorant/images/c/c6/BlastX_Spectre.png/revision/latest?cb=20230711193004,BlastX Spectre,Exclusive,BlastX,2175,Spectre
https://static.wikia.nocookie.net/valorant/images/0/05/Convex_Spectre.png/revision/latest?cb=20230711193556,Convex Spectre,Select,Convex,875,Spectre
https://static.wikia.nocookie.net/valorant/images/5/56/Emberclad_Spectre.png/revision/latest?cb=20240123213252,Emberclad Spectre,Deluxe,Emberclad,1275,Spectre
https://static.wikia.nocookie.net/valorant/images/6/65/Evori_Dreamwings_Spectre.png/revision/latest?cb=20240625161610,Evori Dreamwings Spectre,Ultra,Evori Dreamwings,2475,Spectre
https://static.wikia.nocookie.net/valorant/images/0/02/Forsaken_Spectre.png/revision/latest?cb=20230711194441,Forsaken Spectre,Premium,Forsaken,1775,Spectre
https://static.wikia.nocookie.net/valorant/images/7/72/Gravitational_Uranium_Neuroblaster_Spectre.png/revision/latest?cb=20230711195153,Gravitational Uranium Neuroblaster Spectre,Premium,Gravitational Uranium Neuroblaster,1775,Spectre
https://static.wikia.nocookie.net/valorant/images/8/82/Horizon_Spectre.png/revision/latest?cb=20230711195317,Horizon Spectre,Deluxe,Horizon,1275,Spectre
https://static.wikia.nocookie.net/valorant/images/7/7f/Infantry_Spectre.png/revision/latest?cb=20230711195618,Infantry Spectre,Select,Infantry,875,Spectre
https://static.wikia.nocookie.net/valorant/images/6/6d/Intergrade_Spectre.png/revision/latest?cb=20230919155010,Intergrade Spectre,Select,Intergrade,875,Spectre
https://static.wikia.nocookie.net/valorant/images/4/4b/Ion_Spectre.png/revision/latest?cb=20230711195946,Ion Spectre,Premium,Ion,1775,Spectre
https://static.wikia.nocookie.net/valorant/images/8/83/Kuronami_Spectre.png/revision/latest?cb=20240109154320,Kuronami Spectre,Exclusive,Kuronami,2375,Spectre
https://static.wikia.nocookie.net/valorant/images/6/65/Luna_Spectre.png/revision/latest?cb=20230711200607,Luna Spectre,Deluxe,Luna,1275,Spectre
https://static.wikia.nocookie.net/valorant/images/a/a4/Luxe_Spectre.png/revision/latest?cb=20230711200658,Luxe Spectre,Select,Luxe,875,Spectre
https://static.wikia.nocookie.net/valorant/images/8/8b/Magepunk_Spectre.png/revision/latest?cb=20230711201057,Magepunk Spectre,Premium,Magepunk,1775,Spectre
