Skin Image,Skin Name,Skin Edition,Skin Collection,Skin Cost,Skin Weapon
https://static.wikia.nocookie.net/valorant/images/b/bf/Aristocrat_Stinger.png/revision/latest?cb=20230711192540,Aristocrat Stinger,Deluxe,Aristocrat,1275,Stinger
https://static.wikia.nocookie.net/valorant/images/c/ca/Doodle_Buds_Stinger.png/revision/latest?cb=20230711194015,Doodle Buds Stinger,Premium,Doodle Buds,1775,Stinger
https://static.wikia.nocookie.net/valorant/images/4/43/Ego_Stinger.png/revision/latest?cb=20230711194132,Ego Stinger,Premium,Ego,1775,Stinger
https://static.wikia.nocookie.net/valorant/images/a/a4/Overdrive_Stinger.png/revision/latest?cb=20231205181731,Overdrive Stinger,Exclusive,Overdrive,2175,Stinger
https://static.wikia.nocookie.net/valorant/images/8/88/Prelude_to_Chaos_Stinger.png/revision/latest?cb=20230711202439,Prelude to Chaos Stinger,Exclusive,Prelude to Chaos,2175,Stinger
https://static.wikia.nocookie.net/valorant/images/7/7d/Prism_II_Stinger.png/revision/latest?cb=20230711202734,Prism II Stinger,Select,Prism II,875,Stinger
https://static.wikia.nocookie.net/valorant/images/2/29/RGX_11z_Pro_Stinger.png/revision/latest?cb=20230711203851,RGX 11z Pro Stinger,Exclusive,RGX 11z Pro,2175,Stinger
https://static.wikia.nocookie.net/valorant/images/f/f7/Sakura_Stinger.png/revision/latest?cb=20230711204225,Sakura Stinger,Deluxe,Sakura,1275,Stinger
https://static.wikia.nocookie.net/valorant/images/e/e1/Sensation_Stinger.png/revision/latest?cb=20230711204341,Sensation Stinger,Select,Sensation,875,Stinger
https://static.wikia.nocookie.net/valorant/images/1/11/Silvanus_Stinger.png/revision/latest?cb=20230711204616,Silvanus Stinger,Deluxe,Silvanus,1275,Stinger
https://static.wikia.nocookie.net/valorant/images/9/9e/Sovereign_Stinger.png/revision/latest?cb=20230711205050,Sovereign Stinger,Premium,Sovereign,1775,Stinger
https://static.wikia.nocookie.net/valorant/images/e/ed/Switchback_Stinger.png/revision/latest?cb=20240416150243,Switchback Stinger,Select,Switchback,875,Stinger
