Skin Image,Skin Name,Skin Edition,Skin Collection,Skin Cost,Skin Weapon
https://static.wikia.nocookie.net/valorant/images/2/22/Aemondir_Vandal.png/revision/latest?cb=20240621121648,Aemondir Vandal,Premium,Aemondir,1775,Vandal
https://static.wikia.nocookie.net/valorant/images/8/84/Altitude_Vandal.png/revision/latest?cb=20230711192248,Altitude Vandal,Deluxe,Altitude,1275,Vandal
https://static.wikia.nocookie.net/valorant/images/e/e1/Araxys_Vandal.png/revision/latest?cb=20230711192502,Araxys Vandal,Exclusive,Araxys,2175,Vandal
https://static.wikia.nocookie.net/valorant/images/c/c7/Arcane_Vandal.png/revision/latest?cb=20241105170815,Arcane Vandal,Exclusive,Arcane,2175,Vandal
https://static.wikia.nocookie.net/valorant/images/d/d4/Aristocrat_Vandal.png/revision/latest?cb=20230711192546,Aristocrat Vandal,Deluxe,Aristocrat,1275,Vandal
https://static.wikia.nocookie.net/valorant/images/b/b2/Avalanche_Vandal.png/revision/latest?cb=20230711192758,Avalanche Vandal,Deluxe,Avalanche,1275,Vandal
https://static.wikia.nocookie.net/valorant/images/3/31/Black.Market_Vandal.png/revision/latest?cb=20230711192829,Black.Market Vandal,Premium,Black.Market,1775,Vandal
https://static.wikia.nocookie.net/valorant/images/1/19/Champions_2021_Vandal.png/revision/latest?cb=20230711193220,Champions 2021 Vandal,Exclusive,Champions 2021,2675,Vandal
https://static.wikia.nocookie.net/valorant/images/4/4c/Champions_2023_Vandal.png/revision/latest?cb=20230801161921,Champions 2023 Vandal,Exclusive,Champions 2023,2675,Vandal
https://static.wikia.nocookie.net/valorant/images/9/93/ChronoVoid_Vandal.png/revision/latest?cb=20230711193404,ChronoVoid Vandal,Exclusive,ChronoVoid,2175,Vandal
https://static.wikia.nocookie.net/valorant/images/c/cf/Crimsonbeast_Vandal.png/revision/latest?cb=20230711193655,Crimsonbeast Vandal,Premium,Crimsonbeast,1775,Vandal
https://static.wikia.nocookie.net/valorant/images/0/01/Cryostasis_Vandal.png/revision/latest?cb=20230711193727,Cryostasis Vandal,Premium,Cryostasis,1775,Vandal
https://static.wikia.nocookie.net/valorant/images/9/91/Ego_Vandal.png/revision/latest?cb=20230711194148,Ego Vandal,Premium,Ego,1775,Vandal
https://static.wikia.nocookie.net/valorant/images/d/d2/Elderflame_Vandal.png/revision/latest?cb=20230711194310,Elderflame Vandal,Ultra,Elderflame,2475,Vandal
https://static.wikia.nocookie.net/valorant/images/2/2a/Endeavour_Vandal.png/revision/latest?cb=20230711194337,Endeavour Vandal,Select,Endeavour,875,Vandal
https://static.wikia.nocookie.net/valorant/images/4/42/Evori_Dreamwings_Vandal.png/revision/latest?cb=20240625161616,Evori Dreamwings Vandal,Ultra,Evori Dreamwings,2475,Vandal
https://static.wikia.nocookie.net/valorant/images/6/68/Forsaken_Vandal.png/revision/latest?cb=20230711194452,Forsaken Vandal,Premium,Forsaken,1775,Vandal
https://static.wikia.nocookie.net/valorant/images/0/0c/Gaia%27s_Vengeance_Vandal.png/revision/latest?cb=20230711194610,Gaia's Vengeance Vandal,Premium,Gaia's Vengeance,1775,Vandal
https://static.wikia.nocookie.net/valorant/images/a/ab/Glitchpop_Vandal.png/revision/latest?cb=20230711195022,Glitchpop Vandal,Exclusive,Glitchpop,2175,Vandal
https://static.wikia.nocookie.net/valorant/images/f/f3/Holomoku_Vandal.png/revision/latest?cb=20240514190834,Holomoku Vandal,Deluxe,Holomoku,1275,Vandal
https://static.wikia.nocookie.net/valorant/images/8/8a/Horizon_Vandal.png/revision/latest?cb=20230711195323,Horizon Vandal,Deluxe,Horizon,1275,Vandal
https://static.wikia.nocookie.net/valorant/images/b/ba/Imperium_Vandal.png/revision/latest?cb=20230829125557,Imperium Vandal,Exclusive,Imperium,2175,Vandal
https://static.wikia.nocookie.net/valorant/images/e/e8/Ion_Vandal.png/revision/latest?cb=20230711200008,Ion Vandal,Premium,Ion,1775,Vandal
https://static.wikia.nocookie.net/valorant/images/2/2e/Kuronami_Vandal.png/revision/latest?cb=20240109154323,Kuronami Vandal,Exclusive,Kuronami,2375,Vandal
https://static.wikia.nocookie.net/valorant/images/0/06/Luna_Vandal.png/revision/latest?cb=20230711200613,Luna Vandal,Deluxe,Luna,1275,Vandal
https://static.wikia.nocookie.net/valorant/images/e/e3/Luxe_Vandal.png/revision/latest?cb=20230711200704,Luxe Vandal,Select,Luxe,875,Vandal
https://static.wikia.nocookie.net/valorant/images/8/80/Magepunk_Vandal.png/revision/latest?cb=20230711201113,Magepunk Vandal,Premium,Magepunk,1775,Vandal
https://static.wikia.nocookie.net/valorant/images/7/7e/MK.VII_Liberty_Vandal.png/revision/latest?cb=20240221183121,MK.VII Liberty Vandal,Deluxe,MK.VII Liberty,1275,Vandal
https://static.wikia.nocookie.net/valorant/images/f/fe/Neptune_Vandal.png/revision/latest?cb=20230711201624,Neptune Vandal,Premium,Neptune,1775,Vandal
https://static.wikia.nocookie.net/valorant/images/8/84/NO_LIMITS_Vandal.png/revision/latest?cb=20230711201717,NO LIMITS Vandal,Deluxe,NO LIMITS,1275,Vandal
https://static.wikia.nocookie.net/valorant/images/1/17/Nunca_Olvidados_Vandal.png/revision/latest?cb=20230711201805,Nunca Olvidados Vandal,Deluxe,Nunca Olvidados,1275,Vandal
https://static.wikia.nocookie.net/valorant/images/3/3b/Oni_Vandal.png/revision/latest?cb=20230711202020,Oni Vandal,Premium,Oni,1775,Vandal
https://static.wikia.nocookie.net/valorant/images/5/5b/Origin_Vandal.png/revision/latest?cb=20230711202153,Origin Vandal,Premium,Origin,1775,Vandal
https://static.wikia.nocookie.net/valorant/images/d/da/Orion_Vandal.png/revision/latest?cb=20231017154853,Orion Vandal,Deluxe,Orion,1275,Vandal
https://static.wikia.nocookie.net/valorant/images/5/5b/Overdrive_Vandal.png/revision/latest?cb=20231205181737,Overdrive Vandal,Exclusive,Overdrive,2175,Vandal
https://static.wikia.nocookie.net/valorant/images/a/a8/Prelude_to_Chaos_Vandal.png/revision/latest?cb=20230711202455,Prelude to Chaos Vandal,Exclusive,Prelude to Chaos,2175,Vandal
https://static.wikia.nocookie.net/valorant/images/a/aa/Prime_Vandal.png/revision/latest?cb=20230711202645,Prime Vandal,Premium,Prime,1775,Vandal
https://static.wikia.nocookie.net/valorant/images/e/e7/Primordium_Vandal.png/revision/latest?cb=20240305163650,Primordium Vandal,Exclusive,Primordium,2175,Vandal
https://static.wikia.nocookie.net/valorant/images/8/8e/Prism_II_Vandal.png/revision/latest?cb=20230711202739,Prism II Vandal,Select,Prism II,875,Vandal
https://static.wikia.nocookie.net/valorant/images/2/27/Reaver_Vandal.png/revision/latest?cb=20230711203347,Reaver Vandal,Premium,Reaver,1775,Vandal
https://static.wikia.nocookie.net/valorant/images/4/41/RGX_11z_Pro_Vandal.png/revision/latest?cb=20230711203909,RGX 11z Pro Vandal,Exclusive,RGX 11z Pro,2175,Vandal
https://static.wikia.nocookie.net/valorant/images/5/5f/Sakura_Vandal.png/revision/latest?cb=20230711204231,Sakura Vandal,Deluxe,Sakura,1275,Vandal
https://static.wikia.nocookie.net/valorant/images/7/70/Sarmad_Vandal.png/revision/latest?cb=20230711204259,Sarmad Vandal,Deluxe,Sarmad,1275,Vandal
https://static.wikia.nocookie.net/valorant/images/0/05/Sensation_Vandal.png/revision/latest?cb=20230711204347,Sensation Vandal,Select,Sensation,875,Vandal
https://static.wikia.nocookie.net/valorant/images/4/47/Sentinels_of_Light_Vandal.png/revision/latest?cb=20230711204407,Sentinels of Light Vandal,Exclusive,Sentinels of Light,2175,Vandal
https://static.wikia.nocookie.net/valorant/images/f/ff/Silvanus_Vandal.png/revision/latest?cb=20230711204621,Silvanus Vandal,Deluxe,Silvanus,1275,Vandal
https://static.wikia.nocookie.net/valorant/images/4/4b/Singularity_Vandal.png/revision/latest?cb=20240924172253,Singularity Vandal,Exclusive,Singularity,2175,Vandal
https://static.wikia.nocookie.net/valorant/images/f/f8/Team_Ace_Vandal.png/revision/latest?cb=20230711205747,Team Ace Vandal,Deluxe,Team Ace,1275,Vandal
https://static.wikia.nocookie.net/valorant/images/e/e7/Tethered_Realms_Vandal.png/revision/latest?cb=20230711205831,Tethered Realms Vandal,Premium,Tethered Realms,1775,Vandal
https://static.wikia.nocookie.net/valorant/images/0/09/Titanmail_Vandal.png/revision/latest?cb=20230711210046,Titanmail Vandal,Deluxe,Titanmail,1275,Vandal
https://static.wikia.nocookie.net/valorant/images/a/a5/Valiant_Hero_Vandal.png/revision/latest?cb=20231031131129,Valiant Hero Vandal,Premium,Valiant Hero,1775,Vandal
https://static.wikia.nocookie.net/valorant/images/f/f5/VALORANT_GO%21_Vol._2_Vandal.png/revision/latest?cb=20230711210146,VALORANT GO! Vol. 2 Vandal,Premium,VALORANT GO! Vol. 2,1775,Vandal
https://static.wikia.nocookie.net/valorant/images/a/ad/Wasteland_Vandal.png/revision/latest?cb=20230711210456,Wasteland Vandal,Deluxe,Wasteland,1275,Vandal
https://static.wikia.nocookie.net/valorant/images/f/f2/Winterwunderland_Vandal.png/revision/latest?cb=20230711210550,Winterwunderland Vandal,Deluxe,Winterwunderland,1275,Vandal
https://static.wikia.nocookie.net/valorant/images/c/cd/Wonderstallion_Vandal.png/revision/latest?cb=20240813162949,Wonderstallion Vandal,Select,Wonderstallion,875,Vandal
https://static.wikia.nocookie.net/valorant/images/d/db/XER%C3%98FANG_Vandal.png/revision/latest?cb=20240206163522,XERØFANG Vandal,Premium,XERØFANG,1775,Vandal
